<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDILS,D,19931025,000000,1.6058,1.6058,1.6058,1.6058,0,0
NZDILS,D,19931026,000000,1.6091,1.6091,1.6091,1.6091,0,0
NZDILS,D,19931027,000000,1.6072,1.6072,1.6072,1.6072,0,0
NZDILS,D,19931028,000000,1.6104,1.6104,1.6104,1.6104,0,0
NZDILS,D,19931029,000000,1.6119,1.6119,1.6119,1.6119,0,0
NZDILS,D,19931102,000000,1.6157,1.6157,1.6157,1.6157,0,0
NZDILS,D,19931103,000000,1.6214,1.6214,1.6214,1.6214,0,0
NZDILS,D,19931104,000000,1.6174,1.6174,1.6174,1.6174,0,0
NZDILS,D,19931105,000000,1.6258,1.6258,1.6258,1.6258,0,0
NZDILS,D,19931108,000000,1.5827,1.5827,1.5827,1.5827,0,0
NZDILS,D,19931109,000000,1.5911,1.5911,1.5911,1.5911,0,0
NZDILS,D,19931110,000000,1.5788,1.5788,1.5788,1.5788,0,0
NZDILS,D,19931112,000000,1.5746,1.5746,1.5746,1.5746,0,0
NZDILS,D,19931115,000000,1.5725,1.5725,1.5725,1.5725,0,0
NZDILS,D,19931116,000000,1.5729,1.5729,1.5729,1.5729,0,0
NZDILS,D,19931117,000000,1.6097,1.6097,1.6097,1.6097,0,0
NZDILS,D,19931118,000000,1.61,1.61,1.61,1.61,0,0
NZDILS,D,19931119,000000,1.61,1.61,1.61,1.61,0,0
NZDILS,D,19931122,000000,1.6088,1.6088,1.6088,1.6088,0,0
NZDILS,D,19931123,000000,1.611,1.611,1.611,1.611,0,0
NZDILS,D,19931124,000000,1.6148,1.6148,1.6148,1.6148,0,0
NZDILS,D,19931125,000000,1.6087,1.6087,1.6087,1.6087,0,0
NZDILS,D,19931126,000000,1.607,1.607,1.607,1.607,0,0
NZDILS,D,19931129,000000,1.6085,1.6085,1.6085,1.6085,0,0
NZDILS,D,19931130,000000,1.6126,1.6126,1.6126,1.6126,0,0
NZDILS,D,19931201,000000,1.6144,1.6144,1.6144,1.6144,0,0
NZDILS,D,19931202,000000,1.6181,1.6181,1.6181,1.6181,0,0
NZDILS,D,19931203,000000,1.6202,1.6202,1.6202,1.6202,0,0
NZDILS,D,19931206,000000,1.6223,1.6223,1.6223,1.6223,0,0
NZDILS,D,19931207,000000,1.6203,1.6203,1.6203,1.6203,0,0
NZDILS,D,19931208,000000,1.6357,1.6357,1.6357,1.6357,0,0
NZDILS,D,19931209,000000,1.6333,1.6333,1.6333,1.6333,0,0
NZDILS,D,19931210,000000,1.6347,1.6347,1.6347,1.6347,0,0
NZDILS,D,19931213,000000,1.6311,1.6311,1.6311,1.6311,0,0
NZDILS,D,19931214,000000,1.6402,1.6402,1.6402,1.6402,0,0
NZDILS,D,19931215,000000,1.6434,1.6434,1.6434,1.6434,0,0
NZDILS,D,19931216,000000,1.6546,1.6546,1.6546,1.6546,0,0
NZDILS,D,19931217,000000,1.6563,1.6563,1.6563,1.6563,0,0
