<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKCZK,D,19951023,000000,4.2054,4.2054,4.2054,4.2054,0,0
NOKCZK,D,19951024,000000,4.1965,4.1965,4.1965,4.1965,0,0
NOKCZK,D,19951025,000000,4.2025,4.2025,4.2025,4.2025,0,0
NOKCZK,D,19951026,000000,4.181,4.181,4.181,4.181,0,0
NOKCZK,D,19951027,000000,4.2114,4.2114,4.2114,4.2114,0,0
NOKCZK,D,19951030,000000,4.2042,4.2042,4.2042,4.2042,0,0
NOKCZK,D,19951031,000000,4.1978,4.1978,4.1978,4.1978,0,0
NOKCZK,D,19951102,000000,4.1961,4.1961,4.1961,4.1961,0,0
NOKCZK,D,19951103,000000,4.1918,4.1918,4.1918,4.1918,0,0
NOKCZK,D,19951106,000000,4.2049,4.2049,4.2049,4.2049,0,0
NOKCZK,D,19951107,000000,4.1966,4.1966,4.1966,4.1966,0,0
NOKCZK,D,19951108,000000,4.2086,4.2086,4.2086,4.2086,0,0
NOKCZK,D,19951109,000000,4.2073,4.2073,4.2073,4.2073,0,0
NOKCZK,D,19951110,000000,4.2002,4.2002,4.2002,4.2002,0,0
NOKCZK,D,19951113,000000,4.2075,4.2075,4.2075,4.2075,0,0
NOKCZK,D,19951114,000000,4.1998,4.1998,4.1998,4.1998,0,0
NOKCZK,D,19951115,000000,4.211,4.211,4.211,4.211,0,0
NOKCZK,D,19951116,000000,4.2154,4.2154,4.2154,4.2154,0,0
NOKCZK,D,19951117,000000,4.215,4.215,4.215,4.215,0,0
NOKCZK,D,19951120,000000,4.2093,4.2093,4.2093,4.2093,0,0
NOKCZK,D,19951121,000000,4.2024,4.2024,4.2024,4.2024,0,0
NOKCZK,D,19951122,000000,4.2062,4.2062,4.2062,4.2062,0,0
NOKCZK,D,19951123,000000,4.2048,4.2048,4.2048,4.2048,0,0
NOKCZK,D,19951124,000000,4.2016,4.2016,4.2016,4.2016,0,0
NOKCZK,D,19951127,000000,4.2119,4.2119,4.2119,4.2119,0,0
NOKCZK,D,19951128,000000,4.1994,4.1994,4.1994,4.1994,0,0
NOKCZK,D,19951129,000000,4.1855,4.1855,4.1855,4.1855,0,0
NOKCZK,D,19951130,000000,4.1763,4.1763,4.1763,4.1763,0,0
NOKCZK,D,19951201,000000,4.176,4.176,4.176,4.176,0,0
NOKCZK,D,19951204,000000,4.1926,4.1926,4.1926,4.1926,0,0
NOKCZK,D,19951205,000000,4.1911,4.1911,4.1911,4.1911,0,0
NOKCZK,D,19951206,000000,4.1764,4.1764,4.1764,4.1764,0,0
NOKCZK,D,19951207,000000,4.1909,4.1909,4.1909,4.1909,0,0
NOKCZK,D,19951208,000000,4.1774,4.1774,4.1774,4.1774,0,0
NOKCZK,D,19951211,000000,4.1684,4.1684,4.1684,4.1684,0,0
NOKCZK,D,19951212,000000,4.166,4.166,4.166,4.166,0,0
NOKCZK,D,19951213,000000,4.1561,4.1561,4.1561,4.1561,0,0
NOKCZK,D,19951214,000000,4.166,4.166,4.166,4.166,0,0
NOKCZK,D,19951215,000000,4.1712,4.1712,4.1712,4.1712,0,0
NOKCZK,D,19951218,000000,4.1819,4.1819,4.1819,4.1819,0,0
NOKCZK,D,19951219,000000,4.1836,4.1836,4.1836,4.1836,0,0
NOKCZK,D,19951220,000000,4.1974,4.1974,4.1974,4.1974,0,0
NOKCZK,D,19951221,000000,4.1891,4.1891,4.1891,4.1891,0,0
NOKCZK,D,19951222,000000,4.1929,4.1929,4.1929,4.1929,0,0
NOKCZK,D,19951227,000000,4.2135,4.2135,4.2135,4.2135,0,0
NOKCZK,D,19951228,000000,4.206,4.206,4.206,4.206,0,0
NOKCZK,D,19951229,000000,4.2167,4.2167,4.2167,4.2167,0,0
NOKCZK,D,19960102,000000,4.2184,4.2184,4.2184,4.2184,0,0
NOKCZK,D,19960103,000000,4.2057,4.2057,4.2057,4.2057,0,0
NOKCZK,D,19960104,000000,4.188,4.188,4.188,4.188,0,0
NOKCZK,D,19960105,000000,4.2037,4.2037,4.2037,4.2037,0,0
NOKCZK,D,19960108,000000,4.2021,4.2021,4.2021,4.2021,0,0
NOKCZK,D,19960109,000000,4.203,4.203,4.203,4.203,0,0
NOKCZK,D,19960110,000000,4.2202,4.2202,4.2202,4.2202,0,0
NOKCZK,D,19960111,000000,4.2247,4.2247,4.2247,4.2247,0,0
NOKCZK,D,19960112,000000,4.2154,4.2154,4.2154,4.2154,0,0
NOKCZK,D,19960115,000000,4.2231,4.2231,4.2231,4.2231,0,0
NOKCZK,D,19960116,000000,4.2097,4.2097,4.2097,4.2097,0,0
NOKCZK,D,19960117,000000,4.2069,4.2069,4.2069,4.2069,0,0
NOKCZK,D,19960118,000000,4.202,4.202,4.202,4.202,0,0
NOKCZK,D,19960119,000000,4.2024,4.2024,4.2024,4.2024,0,0
NOKCZK,D,19960122,000000,4.1953,4.1953,4.1953,4.1953,0,0
NOKCZK,D,19960123,000000,4.1941,4.1941,4.1941,4.1941,0,0
NOKCZK,D,19960124,000000,4.1839,4.1839,4.1839,4.1839,0,0
NOKCZK,D,19960125,000000,4.1908,4.1908,4.1908,4.1908,0,0
NOKCZK,D,19960126,000000,4.1897,4.1897,4.1897,4.1897,0,0
NOKCZK,D,19960129,000000,4.1732,4.1732,4.1732,4.1732,0,0
NOKCZK,D,19960130,000000,4.1717,4.1717,4.1717,4.1717,0,0
NOKCZK,D,19960131,000000,4.1824,4.1824,4.1824,4.1824,0,0
NOKCZK,D,19960201,000000,4.1932,4.1932,4.1932,4.1932,0,0
NOKCZK,D,19960202,000000,4.1892,4.1892,4.1892,4.1892,0,0
NOKCZK,D,19960205,000000,4.2033,4.2033,4.2033,4.2033,0,0
NOKCZK,D,19960206,000000,4.2019,4.2019,4.2019,4.2019,0,0
NOKCZK,D,19960207,000000,4.1976,4.1976,4.1976,4.1976,0,0
NOKCZK,D,19960208,000000,4.2048,4.2048,4.2048,4.2048,0,0
NOKCZK,D,19960209,000000,4.2071,4.2071,4.2071,4.2071,0,0
NOKCZK,D,19960212,000000,4.1918,4.1918,4.1918,4.1918,0,0
NOKCZK,D,19960213,000000,4.186,4.186,4.186,4.186,0,0
NOKCZK,D,19960214,000000,4.1906,4.1906,4.1906,4.1906,0,0
NOKCZK,D,19960215,000000,4.1985,4.1985,4.1985,4.1985,0,0
NOKCZK,D,19960216,000000,4.2156,4.2156,4.2156,4.2156,0,0
NOKCZK,D,19960219,000000,4.2407,4.2407,4.2407,4.2407,0,0
NOKCZK,D,19960220,000000,4.2425,4.2425,4.2425,4.2425,0,0
NOKCZK,D,19960221,000000,4.231,4.231,4.231,4.231,0,0
NOKCZK,D,19960222,000000,4.246,4.246,4.246,4.246,0,0
NOKCZK,D,19960223,000000,4.2453,4.2453,4.2453,4.2453,0,0
NOKCZK,D,19960226,000000,4.2594,4.2594,4.2594,4.2594,0,0
NOKCZK,D,19960227,000000,4.2532,4.2532,4.2532,4.2532,0,0
NOKCZK,D,19960228,000000,4.2436,4.2436,4.2436,4.2436,0,0
NOKCZK,D,19960229,000000,4.2573,4.2573,4.2573,4.2573,0,0
NOKCZK,D,19960301,000000,4.2453,4.2453,4.2453,4.2453,0,0
NOKCZK,D,19960304,000000,4.2465,4.2465,4.2465,4.2465,0,0
NOKCZK,D,19960305,000000,4.2279,4.2279,4.2279,4.2279,0,0
NOKCZK,D,19960306,000000,4.2251,4.2251,4.2251,4.2251,0,0
NOKCZK,D,19960307,000000,4.2239,4.2239,4.2239,4.2239,0,0
NOKCZK,D,19960308,000000,4.2277,4.2277,4.2277,4.2277,0,0
NOKCZK,D,19960311,000000,4.2302,4.2302,4.2302,4.2302,0,0
NOKCZK,D,19960312,000000,4.2262,4.2262,4.2262,4.2262,0,0
NOKCZK,D,19960313,000000,4.2407,4.2407,4.2407,4.2407,0,0
NOKCZK,D,19960314,000000,4.2388,4.2388,4.2388,4.2388,0,0
NOKCZK,D,19960315,000000,4.2347,4.2347,4.2347,4.2347,0,0
NOKCZK,D,19960318,000000,4.2418,4.2418,4.2418,4.2418,0,0
NOKCZK,D,19960319,000000,4.2419,4.2419,4.2419,4.2419,0,0
NOKCZK,D,19960320,000000,4.249,4.249,4.249,4.249,0,0
NOKCZK,D,19960321,000000,4.239,4.239,4.239,4.239,0,0
NOKCZK,D,19960322,000000,4.2292,4.2292,4.2292,4.2292,0,0
NOKCZK,D,19960325,000000,4.2323,4.2323,4.2323,4.2323,0,0
NOKCZK,D,19960326,000000,4.2343,4.2343,4.2343,4.2343,0,0
NOKCZK,D,19960327,000000,4.2235,4.2235,4.2235,4.2235,0,0
NOKCZK,D,19960328,000000,4.243,4.243,4.243,4.243,0,0
NOKCZK,D,19960329,000000,4.2379,4.2379,4.2379,4.2379,0,0
NOKCZK,D,19960401,000000,4.234,4.234,4.234,4.234,0,0
NOKCZK,D,19960402,000000,4.2322,4.2322,4.2322,4.2322,0,0
NOKCZK,D,19960403,000000,4.2332,4.2332,4.2332,4.2332,0,0
NOKCZK,D,19960404,000000,4.2259,4.2259,4.2259,4.2259,0,0
NOKCZK,D,19960405,000000,4.2413,4.2413,4.2413,4.2413,0,0
NOKCZK,D,19960409,000000,4.2286,4.2286,4.2286,4.2286,0,0
NOKCZK,D,19960410,000000,4.2228,4.2228,4.2228,4.2228,0,0
NOKCZK,D,19960411,000000,4.2174,4.2174,4.2174,4.2174,0,0
NOKCZK,D,19960412,000000,4.221,4.221,4.221,4.221,0,0
NOKCZK,D,19960415,000000,4.228,4.228,4.228,4.228,0,0
NOKCZK,D,19960416,000000,4.2362,4.2362,4.2362,4.2362,0,0
NOKCZK,D,19960417,000000,4.2438,4.2438,4.2438,4.2438,0,0
