<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLRON,D,19951023,000000,0.23086,0.23086,0.23086,0.23086,0,0
BRLRON,D,19951024,000000,0.23104,0.23104,0.23104,0.23104,0,0
BRLRON,D,19951025,000000,0.23245,0.23245,0.23245,0.23245,0,0
BRLRON,D,19951026,000000,0.23247,0.23247,0.23247,0.23247,0,0
BRLRON,D,19951027,000000,0.23247,0.23247,0.23247,0.23247,0,0
BRLRON,D,19951030,000000,0.23302,0.23302,0.23302,0.23302,0,0
BRLRON,D,19951031,000000,0.23285,0.23285,0.23285,0.23285,0,0
BRLRON,D,19951102,000000,0.23584,0.23584,0.23584,0.23584,0,0
BRLRON,D,19951103,000000,0.2388,0.2388,0.2388,0.2388,0,0
BRLRON,D,19951106,000000,0.23903,0.23903,0.23903,0.23903,0,0
BRLRON,D,19951107,000000,0.24417,0.24417,0.24417,0.24417,0,0
BRLRON,D,19951108,000000,0.24235,0.24235,0.24235,0.24235,0,0
BRLRON,D,19951109,000000,0.24423,0.24423,0.24423,0.24423,0,0
BRLRON,D,19951110,000000,0.24657,0.24657,0.24657,0.24657,0,0
BRLRON,D,19951113,000000,0.24691,0.24691,0.24691,0.24691,0,0
BRLRON,D,19951114,000000,0.24678,0.24678,0.24678,0.24678,0,0
BRLRON,D,19951115,000000,0.24727,0.24727,0.24727,0.24727,0,0
BRLRON,D,19951116,000000,0.25501,0.25501,0.25501,0.25501,0,0
BRLRON,D,19951117,000000,0.26516,0.26516,0.26516,0.26516,0,0
BRLRON,D,19951120,000000,0.26493,0.26493,0.26493,0.26493,0,0
BRLRON,D,19951121,000000,0.26447,0.26447,0.26447,0.26447,0,0
BRLRON,D,19951122,000000,0.26433,0.26433,0.26433,0.26433,0,0
BRLRON,D,19951123,000000,0.26433,0.26433,0.26433,0.26433,0,0
BRLRON,D,19951124,000000,0.26428,0.26428,0.26428,0.26428,0,0
BRLRON,D,19951127,000000,0.26361,0.26361,0.26361,0.26361,0,0
BRLRON,D,19951128,000000,0.26758,0.26758,0.26758,0.26758,0,0
BRLRON,D,19951129,000000,0.26395,0.26395,0.26395,0.26395,0,0
BRLRON,D,19951130,000000,0.26291,0.26291,0.26291,0.26291,0,0
BRLRON,D,19951201,000000,0.26291,0.26291,0.26291,0.26291,0,0
BRLRON,D,19951204,000000,0.26694,0.26694,0.26694,0.26694,0,0
BRLRON,D,19951205,000000,0.26858,0.26858,0.26858,0.26858,0,0
BRLRON,D,19951206,000000,0.26591,0.26591,0.26591,0.26591,0,0
BRLRON,D,19951207,000000,0.27025,0.27025,0.27025,0.27025,0,0
BRLRON,D,19951208,000000,0.26958,0.26958,0.26958,0.26958,0,0
BRLRON,D,19951211,000000,0.26979,0.26979,0.26979,0.26979,0,0
BRLRON,D,19951212,000000,0.26777,0.26777,0.26777,0.26777,0,0
BRLRON,D,19951213,000000,0.26893,0.26893,0.26893,0.26893,0,0
BRLRON,D,19951214,000000,0.26787,0.26787,0.26787,0.26787,0,0
BRLRON,D,19951215,000000,0.26982,0.26982,0.26982,0.26982,0,0
BRLRON,D,19951218,000000,0.26974,0.26974,0.26974,0.26974,0,0
BRLRON,D,19951219,000000,0.26963,0.26963,0.26963,0.26963,0,0
BRLRON,D,19951220,000000,0.26963,0.26963,0.26963,0.26963,0,0
BRLRON,D,19951221,000000,0.2691,0.2691,0.2691,0.2691,0,0
BRLRON,D,19951222,000000,0.2688,0.2688,0.2688,0.2688,0,0
BRLRON,D,19951227,000000,0.26891,0.26891,0.26891,0.26891,0,0
