<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNMYR,D,19900108,000000,2.8432,2.8432,2.8432,2.8432,0,0
PLNMYR,D,19900115,000000,2.839,2.839,2.839,2.839,0,0
PLNMYR,D,19900122,000000,2.8465,2.8465,2.8465,2.8465,0,0
PLNMYR,D,19900129,000000,2.8432,2.8432,2.8432,2.8432,0,0
PLNMYR,D,19900205,000000,2.8411,2.8411,2.8411,2.8411,0,0
PLNMYR,D,19900212,000000,2.8465,2.8465,2.8465,2.8465,0,0
PLNMYR,D,19900219,000000,2.8447,2.8447,2.8447,2.8447,0,0
PLNMYR,D,19900226,000000,2.8468,2.8468,2.8468,2.8468,0,0
PLNMYR,D,19900305,000000,2.8498,2.8498,2.8498,2.8498,0,0
PLNMYR,D,19900312,000000,2.8484,2.8484,2.8484,2.8484,0,0
PLNMYR,D,19900319,000000,2.8653,2.8653,2.8653,2.8653,0,0
PLNMYR,D,19900326,000000,2.8715,2.8715,2.8715,2.8715,0,0
PLNMYR,D,19900402,000000,2.8753,2.8753,2.8753,2.8753,0,0
PLNMYR,D,19900409,000000,2.8719,2.8719,2.8719,2.8719,0,0
PLNMYR,D,19900417,000000,2.8769,2.8769,2.8769,2.8769,0,0
PLNMYR,D,19900423,000000,2.8605,2.8605,2.8605,2.8605,0,0
PLNMYR,D,19900430,000000,2.8593,2.8593,2.8593,2.8593,0,0
PLNMYR,D,19900507,000000,2.8481,2.8481,2.8481,2.8481,0,0
PLNMYR,D,19900514,000000,2.8369,2.8369,2.8369,2.8369,0,0
PLNMYR,D,19900521,000000,2.8446,2.8446,2.8446,2.8446,0,0
PLNMYR,D,19900528,000000,2.8379,2.8379,2.8379,2.8379,0,0
PLNMYR,D,19900604,000000,2.8521,2.8521,2.8521,2.8521,0,0
PLNMYR,D,19900611,000000,2.8519,2.8519,2.8519,2.8519,0,0
PLNMYR,D,19900618,000000,2.8536,2.8536,2.8536,2.8536,0,0
PLNMYR,D,19900625,000000,2.8537,2.8537,2.8537,2.8537,0,0
PLNMYR,D,19900702,000000,2.8495,2.8495,2.8495,2.8495,0,0
PLNMYR,D,19900709,000000,2.8474,2.8474,2.8474,2.8474,0,0
