<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCEUR,D,20100719,000000,0.06237,0.06237,0.06237,0.06237,0,0
BTCEUR,D,20100720,000000,0.05795,0.05795,0.05795,0.05795,0,0
BTCEUR,D,20100721,000000,0.06185,0.06185,0.06185,0.06185,0,0
BTCEUR,D,20100722,000000,0.03916,0.03916,0.03916,0.03916,0,0
BTCEUR,D,20100723,000000,0.04875,0.04875,0.04875,0.04875,0,0
BTCEUR,D,20100726,000000,0.04309,0.04309,0.04309,0.04309,0,0
BTCEUR,D,20100727,000000,0.04622,0.04622,0.04622,0.04622,0,0
BTCEUR,D,20100728,000000,0.04532,0.04532,0.04532,0.04532,0,0
BTCEUR,D,20100729,000000,0.05345,0.05345,0.05345,0.05345,0,0
BTCEUR,D,20100730,000000,0.04805,0.04805,0.04805,0.04805,0,0
BTCEUR,D,20100802,000000,0.04555,0.04555,0.04555,0.04555,0,0
BTCEUR,D,20100803,000000,0.04534,0.04534,0.04534,0.04534,0,0
BTCEUR,D,20100804,000000,0.04333,0.04333,0.04333,0.04333,0,0
BTCEUR,D,20100805,000000,0.04635,0.04635,0.04635,0.04635,0,0
BTCEUR,D,20100806,000000,0.04696,0.04696,0.04696,0.04696,0,0
BTCEUR,D,20100809,000000,0.05368,0.05368,0.05368,0.05368,0,0
BTCEUR,D,20100810,000000,0.05338,0.05338,0.05338,0.05338,0,0
BTCEUR,D,20100811,000000,0.05202,0.05202,0.05202,0.05202,0,0
BTCEUR,D,20100812,000000,0.05448,0.05448,0.05448,0.05448,0,0
BTCEUR,D,20100813,000000,0.05043,0.05043,0.05043,0.05043,0,0
BTCEUR,D,20100816,000000,0.05102,0.05102,0.05102,0.05102,0,0
BTCEUR,D,20100817,000000,0.05436,0.05436,0.05436,0.05436,0,0
BTCEUR,D,20100818,000000,0.05282,0.05282,0.05282,0.05282,0,0
BTCEUR,D,20100819,000000,0.05202,0.05202,0.05202,0.05202,0,0
