<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDTRY,D,19840102,000000,0.0003,0.0003,0.0003,0.0003,0,0
AUDTRY,D,19840109,000000,0.0003,0.0003,0.0003,0.0003,0,0
AUDTRY,D,19840116,000000,0.00031,0.00031,0.00031,0.00031,0,0
AUDTRY,D,19840123,000000,0.0003,0.0003,0.0003,0.0003,0,0
AUDTRY,D,19840130,000000,0.00031,0.00031,0.00031,0.00031,0,0
AUDTRY,D,19840206,000000,0.00032,0.00032,0.00032,0.00032,0,0
AUDTRY,D,19840213,000000,0.00034,0.00034,0.00034,0.00034,0,0
AUDTRY,D,19840220,000000,0.00035,0.00035,0.00035,0.00035,0,0
AUDTRY,D,19840301,000000,0.00035,0.00035,0.00035,0.00035,0,0
AUDTRY,D,19840305,000000,0.00035,0.00035,0.00035,0.00035,0,0
AUDTRY,D,19840312,000000,0.00035,0.00035,0.00035,0.00035,0,0
AUDTRY,D,19840319,000000,0.00034,0.00034,0.00034,0.00034,0,0
AUDTRY,D,19840326,000000,0.00034,0.00034,0.00034,0.00034,0,0
AUDTRY,D,19840402,000000,0.00031,0.00031,0.00031,0.00031,0,0
AUDTRY,D,19840409,000000,0.0003,0.0003,0.0003,0.0003,0,0
AUDTRY,D,19840416,000000,0.00029,0.00029,0.00029,0.00029,0,0
AUDTRY,D,19840424,000000,0.00032,0.00032,0.00032,0.00032,0,0
AUDTRY,D,19840502,000000,0.00032,0.00032,0.00032,0.00032,0,0
AUDTRY,D,19840507,000000,0.00033,0.00033,0.00033,0.00033,0,0
AUDTRY,D,19840514,000000,0.00033,0.00033,0.00033,0.00033,0,0
AUDTRY,D,19840521,000000,0.00033,0.00033,0.00033,0.00033,0,0
AUDTRY,D,19840528,000000,0.00033,0.00033,0.00033,0.00033,0,0
AUDTRY,D,19840604,000000,0.00033,0.00033,0.00033,0.00033,0,0
