<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NADNOK,D,19840109,000000,6.1019,6.1019,6.1019,6.1019,0,0
NADNOK,D,19840116,000000,6.1801,6.1801,6.1801,6.1801,0,0
NADNOK,D,19840123,000000,6.1801,6.1801,6.1801,6.1801,0,0
NADNOK,D,19840130,000000,6.1019,6.1019,6.1019,6.1019,0,0
NADNOK,D,19840206,000000,6.2584,6.2584,6.2584,6.2584,0,0
NADNOK,D,19840213,000000,6.2584,6.2584,6.2584,6.2584,0,0
NADNOK,D,19840220,000000,6.1801,6.1801,6.1801,6.1801,0,0
NADNOK,D,19840301,000000,6.6104,6.6104,6.6104,6.6104,0,0
NADNOK,D,19840305,000000,6.1697,6.1697,6.1697,6.1697,0,0
NADNOK,D,19840312,000000,6.0341,6.0341,6.0341,6.0341,0,0
NADNOK,D,19840319,000000,5.8985,5.8985,5.8985,5.8985,0,0
NADNOK,D,19840326,000000,6.3925,6.3925,6.3925,6.3925,0,0
NADNOK,D,19840402,000000,5.9663,5.9663,5.9663,5.9663,0,0
NADNOK,D,19840409,000000,6.3198,6.3198,6.3198,6.3198,0,0
NADNOK,D,19840416,000000,6.3925,6.3925,6.3925,6.3925,0,0
NADNOK,D,19840424,000000,6.3925,6.3925,6.3925,6.3925,0,0
NADNOK,D,19840502,000000,6.3925,6.3925,6.3925,6.3925,0,0
NADNOK,D,19840507,000000,6.3925,6.3925,6.3925,6.3925,0,0
NADNOK,D,19840514,000000,6.2472,6.2472,6.2472,6.2472,0,0
NADNOK,D,19840521,000000,6.3198,6.3198,6.3198,6.3198,0,0
NADNOK,D,19840528,000000,6.3198,6.3198,6.3198,6.3198,0,0
NADNOK,D,19840604,000000,6.3925,6.3925,6.3925,6.3925,0,0
NADNOK,D,19840611,000000,6.1746,6.1746,6.1746,6.1746,0,0
NADNOK,D,19840618,000000,6.1746,6.1746,6.1746,6.1746,0,0
NADNOK,D,19840625,000000,5.9566,5.9566,5.9566,5.9566,0,0
NADNOK,D,19840702,000000,5.9566,5.9566,5.9566,5.9566,0,0
NADNOK,D,19840709,000000,5.5208,5.5208,5.5208,5.5208,0,0
NADNOK,D,19840716,000000,5.5208,5.5208,5.5208,5.5208,0,0
NADNOK,D,19840723,000000,5.3029,5.3029,5.3029,5.3029,0,0
NADNOK,D,19840730,000000,5.0123,5.0123,5.0123,5.0123,0,0
NADNOK,D,19840806,000000,5.2302,5.2302,5.2302,5.2302,0,0
NADNOK,D,19840813,000000,5.0849,5.0849,5.0849,5.0849,0,0
NADNOK,D,19840820,000000,5.3029,5.3029,5.3029,5.3029,0,0
NADNOK,D,19840827,000000,5.3029,5.3029,5.3029,5.3029,0,0
NADNOK,D,19840901,000000,5.3561,5.3561,5.3561,5.3561,0,0
NADNOK,D,19840910,000000,5.0849,5.0849,5.0849,5.0849,0,0
NADNOK,D,19840917,000000,5.0171,5.0171,5.0171,5.0171,0,0
NADNOK,D,19840924,000000,5.1527,5.1527,5.1527,5.1527,0,0
NADNOK,D,19841001,000000,5.4481,5.4481,5.4481,5.4481,0,0
NADNOK,D,19841008,000000,5.3755,5.3755,5.3755,5.3755,0,0
NADNOK,D,19841015,000000,5.1576,5.1576,5.1576,5.1576,0,0
NADNOK,D,19841022,000000,5.1576,5.1576,5.1576,5.1576,0,0
NADNOK,D,19841029,000000,4.7217,4.7217,4.7217,4.7217,0,0
NADNOK,D,19841105,000000,5.0849,5.0849,5.0849,5.0849,0,0
NADNOK,D,19841112,000000,5.0123,5.0123,5.0123,5.0123,0,0
NADNOK,D,19841119,000000,5.0123,5.0123,5.0123,5.0123,0,0
NADNOK,D,19841126,000000,5.0123,5.0123,5.0123,5.0123,0,0
NADNOK,D,19841201,000000,5.0123,5.0123,5.0123,5.0123,0,0
NADNOK,D,19841210,000000,5.0123,5.0123,5.0123,5.0123,0,0
NADNOK,D,19841217,000000,4.7944,4.7944,4.7944,4.7944,0,0
NADNOK,D,19841224,000000,4.6491,4.6491,4.6491,4.6491,0,0
NADNOK,D,19850101,000000,4.7459,4.7459,4.7459,4.7459,0,0
NADNOK,D,19850107,000000,4.4747,4.4747,4.4747,4.4747,0,0
NADNOK,D,19850114,000000,4.1357,4.1357,4.1357,4.1357,0,0
NADNOK,D,19850121,000000,4.2035,4.2035,4.2035,4.2035,0,0
NADNOK,D,19850128,000000,4.4069,4.4069,4.4069,4.4069,0,0
NADNOK,D,19850204,000000,4.6781,4.6781,4.6781,4.6781,0,0
NADNOK,D,19850211,000000,5.0171,5.0171,5.0171,5.0171,0,0
NADNOK,D,19850218,000000,5.0849,5.0849,5.0849,5.0849,0,0
NADNOK,D,19850225,000000,4.4069,4.4069,4.4069,4.4069,0,0
NADNOK,D,19850304,000000,4.6103,4.6103,4.6103,4.6103,0,0
NADNOK,D,19850311,000000,4.8137,4.8137,4.8137,4.8137,0,0
NADNOK,D,19850318,000000,4.7459,4.7459,4.7459,4.7459,0,0
NADNOK,D,19850325,000000,4.7459,4.7459,4.7459,4.7459,0,0
NADNOK,D,19850329,000000,4.9493,4.9493,4.9493,4.9493,0,0
NADNOK,D,19850401,000000,4.8137,4.8137,4.8137,4.8137,0,0
NADNOK,D,19850409,000000,4.6781,4.6781,4.6781,4.6781,0,0
NADNOK,D,19850415,000000,4.9493,4.9493,4.9493,4.9493,0,0
NADNOK,D,19850422,000000,4.5129,4.5129,4.5129,4.5129,0,0
NADNOK,D,19850429,000000,4.7459,4.7459,4.7459,4.7459,0,0
NADNOK,D,19850506,000000,4.5425,4.5425,4.5425,4.5425,0,0
NADNOK,D,19850513,000000,4.8137,4.8137,4.8137,4.8137,0,0
NADNOK,D,19850520,000000,4.6781,4.6781,4.6781,4.6781,0,0
NADNOK,D,19850527,000000,4.6781,4.6781,4.6781,4.6781,0,0
NADNOK,D,19850601,000000,4.5199,4.5199,4.5199,4.5199,0,0
NADNOK,D,19850610,000000,4.4634,4.4634,4.4634,4.4634,0,0
NADNOK,D,19850617,000000,4.5199,4.5199,4.5199,4.5199,0,0
NADNOK,D,19850624,000000,4.5199,4.5199,4.5199,4.5199,0,0
NADNOK,D,19850701,000000,4.5199,4.5199,4.5199,4.5199,0,0
NADNOK,D,19850708,000000,4.5764,4.5764,4.5764,4.5764,0,0
NADNOK,D,19850715,000000,4.6329,4.6329,4.6329,4.6329,0,0
NADNOK,D,19850723,000000,4.3891,4.3891,4.3891,4.3891,0,0
NADNOK,D,19850729,000000,4.0144,4.0144,4.0144,4.0144,0,0
NADNOK,D,19850805,000000,3.6933,3.6933,3.6933,3.6933,0,0
NADNOK,D,19850812,000000,4.1809,4.1809,4.1809,4.1809,0,0
NADNOK,D,19850819,000000,3.3721,3.3721,3.3721,3.3721,0,0
NADNOK,D,19850826,000000,3.2115,3.2115,3.2115,3.2115,0,0
NADNOK,D,19850902,000000,3.2115,3.2115,3.2115,3.2115,0,0
NADNOK,D,19850909,000000,3.3335,3.3335,3.3335,3.3335,0,0
NADNOK,D,19850916,000000,3.616,3.616,3.616,3.616,0,0
