<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NADISK,D,19951023,000000,17.905,17.905,17.905,17.905,0,0
NADISK,D,19951024,000000,17.897,17.897,17.897,17.897,0,0
NADISK,D,19951025,000000,17.922,17.922,17.922,17.922,0,0
NADISK,D,19951026,000000,17.932,17.932,17.932,17.932,0,0
NADISK,D,19951027,000000,17.916,17.916,17.916,17.916,0,0
NADISK,D,19951030,000000,17.989,17.989,17.989,17.989,0,0
NADISK,D,19951031,000000,17.968,17.968,17.968,17.968,0,0
NADISK,D,19951102,000000,18.045,18.045,18.045,18.045,0,0
NADISK,D,19951103,000000,18.073,18.073,18.073,18.073,0,0
NADISK,D,19951106,000000,18.006,18.006,18.006,18.006,0,0
NADISK,D,19951107,000000,18.025,18.025,18.025,18.025,0,0
NADISK,D,19951108,000000,18.033,18.033,18.033,18.033,0,0
NADISK,D,19951109,000000,18.086,18.086,18.086,18.086,0,0
NADISK,D,19951110,000000,18,18,18,18,0,0
NADISK,D,19951113,000000,17.998,17.998,17.998,17.998,0,0
NADISK,D,19951114,000000,18.067,18.067,18.067,18.067,0,0
NADISK,D,19951115,000000,17.962,17.962,17.962,17.962,0,0
NADISK,D,19951116,000000,17.984,17.984,17.984,17.984,0,0
NADISK,D,19951117,000000,17.955,17.955,17.955,17.955,0,0
NADISK,D,19951120,000000,17.997,17.997,17.997,17.997,0,0
NADISK,D,19951121,000000,17.991,17.991,17.991,17.991,0,0
NADISK,D,19951122,000000,17.942,17.942,17.942,17.942,0,0
NADISK,D,19951123,000000,17.951,17.951,17.951,17.951,0,0
NADISK,D,19951124,000000,17.969,17.969,17.969,17.969,0,0
NADISK,D,19951127,000000,18.027,18.027,18.027,18.027,0,0
NADISK,D,19951128,000000,18.093,18.093,18.093,18.093,0,0
NADISK,D,19951129,000000,18.117,18.117,18.117,18.117,0,0
NADISK,D,19951130,000000,18.171,18.171,18.171,18.171,0,0
NADISK,D,19951201,000000,18.129,18.129,18.129,18.129,0,0
NADISK,D,19951204,000000,18.128,18.128,18.128,18.128,0,0
NADISK,D,19951205,000000,18.097,18.097,18.097,18.097,0,0
NADISK,D,19951206,000000,18.097,18.097,18.097,18.097,0,0
NADISK,D,19951207,000000,18.117,18.117,18.117,18.117,0,0
NADISK,D,19951208,000000,18.165,18.165,18.165,18.165,0,0
NADISK,D,19951211,000000,18.15,18.15,18.15,18.15,0,0
NADISK,D,19951212,000000,18.193,18.193,18.193,18.193,0,0
NADISK,D,19951213,000000,18.215,18.215,18.215,18.215,0,0
NADISK,D,19951214,000000,18.155,18.155,18.155,18.155,0,0
NADISK,D,19951215,000000,18.16,18.16,18.16,18.16,0,0
NADISK,D,19951218,000000,18.076,18.076,18.076,18.076,0,0
NADISK,D,19951219,000000,18.1,18.1,18.1,18.1,0,0
NADISK,D,19951220,000000,18.064,18.064,18.064,18.064,0,0
NADISK,D,19951221,000000,18.001,18.001,18.001,18.001,0,0
NADISK,D,19951222,000000,17.913,17.913,17.913,17.913,0,0
NADISK,D,19951227,000000,18.138,18.138,18.138,18.138,0,0
NADISK,D,19951228,000000,18.133,18.133,18.133,18.133,0,0
NADISK,D,19951229,000000,18.171,18.171,18.171,18.171,0,0
