<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCXAG,D,20100719,000000,0.00458,0.00458,0.00458,0.00458,0,0
BTCXAG,D,20100720,000000,0.00423,0.00423,0.00423,0.00423,0,0
BTCXAG,D,20100721,000000,0.00446,0.00446,0.00446,0.00446,0,0
BTCXAG,D,20100722,000000,0.00278,0.00278,0.00278,0.00278,0,0
BTCXAG,D,20100723,000000,0.00346,0.00346,0.00346,0.00346,0,0
BTCXAG,D,20100726,000000,0.00308,0.00308,0.00308,0.00308,0,0
BTCXAG,D,20100727,000000,0.0034,0.0034,0.0034,0.0034,0,0
BTCXAG,D,20100728,000000,0.00336,0.00336,0.00336,0.00336,0,0
BTCXAG,D,20100729,000000,0.00398,0.00398,0.00398,0.00398,0,0
BTCXAG,D,20100730,000000,0.00348,0.00348,0.00348,0.00348,0,0
BTCXAG,D,20100802,000000,0.00327,0.00327,0.00327,0.00327,0,0
BTCXAG,D,20100803,000000,0.00324,0.00324,0.00324,0.00324,0,0
BTCXAG,D,20100804,000000,0.00309,0.00309,0.00309,0.00309,0,0
BTCXAG,D,20100805,000000,0.00332,0.00332,0.00332,0.00332,0,0
BTCXAG,D,20100806,000000,0.00337,0.00337,0.00337,0.00337,0,0
BTCXAG,D,20100809,000000,0.00388,0.00388,0.00388,0.00388,0,0
BTCXAG,D,20100810,000000,0.00384,0.00384,0.00384,0.00384,0,0
BTCXAG,D,20100811,000000,0.00374,0.00374,0.00374,0.00374,0,0
BTCXAG,D,20100812,000000,0.00388,0.00388,0.00388,0.00388,0,0
BTCXAG,D,20100813,000000,0.00356,0.00356,0.00356,0.00356,0,0
BTCXAG,D,20100816,000000,0.00356,0.00356,0.00356,0.00356,0,0
BTCXAG,D,20100817,000000,0.00377,0.00377,0.00377,0.00377,0,0
BTCXAG,D,20100818,000000,0.00369,0.00369,0.00369,0.00369,0,0
BTCXAG,D,20100819,000000,0.00363,0.00363,0.00363,0.00363,0,0
BTCXAG,D,20100820,000000,0.00364,0.00364,0.00364,0.00364,0,0
BTCXAG,D,20100823,000000,0.0036,0.0036,0.0036,0.0036,0,0
BTCXAG,D,20100824,000000,0.00353,0.00353,0.00353,0.00353,0,0
BTCXAG,D,20100825,000000,0.00345,0.00345,0.00345,0.00345,0,0
BTCXAG,D,20100826,000000,0.00336,0.00336,0.00336,0.00336,0,0
BTCXAG,D,20100827,000000,0.00342,0.00342,0.00342,0.00342,0,0
BTCXAG,D,20100830,000000,0.0034,0.0034,0.0034,0.0034,0,0
BTCXAG,D,20100831,000000,0.0031,0.0031,0.0031,0.0031,0,0
BTCXAG,D,20100901,000000,0.00325,0.00325,0.00325,0.00325,0,0
BTCXAG,D,20100902,000000,0.00324,0.00324,0.00324,0.00324,0,0
BTCXAG,D,20100903,000000,0.00307,0.00307,0.00307,0.00307,0,0
BTCXAG,D,20100906,000000,0.00309,0.00309,0.00309,0.00309,0,0
BTCXAG,D,20100907,000000,0.00307,0.00307,0.00307,0.00307,0,0
BTCXAG,D,20100908,000000,0.00311,0.00311,0.00311,0.00311,0,0
BTCXAG,D,20100909,000000,0.00308,0.00308,0.00308,0.00308,0,0
BTCXAG,D,20100910,000000,0.00312,0.00312,0.00312,0.00312,0,0
BTCXAG,D,20100913,000000,0.00309,0.00309,0.00309,0.00309,0,0
BTCXAG,D,20100914,000000,0.00304,0.00304,0.00304,0.00304,0,0
BTCXAG,D,20100915,000000,0.00294,0.00294,0.00294,0.00294,0,0
BTCXAG,D,20100916,000000,0.00299,0.00299,0.00299,0.00299,0,0
BTCXAG,D,20100917,000000,0.00284,0.00284,0.00284,0.00284,0,0
BTCXAG,D,20100920,000000,0.00299,0.00299,0.00299,0.00299,0,0
BTCXAG,D,20100921,000000,0.00305,0.00305,0.00305,0.00305,0,0
BTCXAG,D,20100922,000000,0.00296,0.00296,0.00296,0.00296,0,0
BTCXAG,D,20100923,000000,0.00294,0.00294,0.00294,0.00294,0,0
BTCXAG,D,20100924,000000,0.00291,0.00291,0.00291,0.00291,0,0
