<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJC,D,19801223,000000,372.85,376.23,366.89,370.27,9748414,0
^DJC,D,19801224,000000,369.67,373.45,366.89,371.36,5202329,0
^DJC,D,19801226,000000,371.86,374.54,369.67,372.95,2845492,0
^DJC,D,19801229,000000,373.45,375.33,367.49,368.98,6361342,0
^DJC,D,19801230,000000,368.28,372.65,366.1,369.77,7012295,0
^DJC,D,19801231,000000,369.87,373.45,367.39,370.77,7269854,0
^DJC,D,19810102,000000,371.26,375.43,368.68,373.94,5092955,0
^DJC,D,19810105,000000,376.13,382.88,374.44,380.89,10357028,0
^DJC,D,19810106,000000,382.28,382.88,374.44,380.89,11890030,0
^DJC,D,19810107,000000,368.68,375.14,365.6,372.65,16386720,0
^DJC,D,19810108,000000,372.55,374.74,364.61,366.7,9764290,0
^DJC,D,19810109,000000,366.89,370.86,363.12,367.19,8854015,0
^DJC,D,19810112,000000,371.06,373.64,366.1,368.18,8601749,0
^DJC,D,19810113,000000,367.39,369.77,363.42,366.99,7213402,0
^DJC,D,19810114,000000,367.99,371.96,365.6,367.89,7301607,0
^DJC,D,19810115,000000,367.89,372.55,366.1,370.57,6992890,0
^DJC,D,19810116,000000,372.16,376.23,369.18,373.35,7631494,0
^DJC,D,19810119,000000,373.64,377.52,370.67,373.84,6433670,0
^DJC,D,19810120,000000,373.74,376.43,366,366.79,7365115,0
^DJC,D,19810121,000000,365.01,368.58,361.83,365.2,6913505,0
^DJC,D,19810122,000000,365.5,367.59,360.34,363.52,7035228,0
^DJC,D,19810123,000000,363.02,365.9,360.34,362.72,6565978,0
^DJC,D,19810126,000000,363.02,365.6,358.75,361.63,6241384,0
^DJC,D,19810127,000000,361.93,367.69,360.34,365.5,7455084,0
^DJC,D,19810128,000000,366.7,369.87,362.52,364.71,6472481,0
^DJC,D,19810129,000000,364.31,369.87,362.13,366.89,6733567,0
^DJC,D,19810130,000000,367.29,372.06,364.31,367.79,7261033,0
^DJC,D,19810202,000000,366.3,367.89,358.06,361.23,7774386,0
^DJC,D,19810203,000000,360.14,365.8,357.56,364.11,8106037,0
^DJC,D,19810204,000000,365.01,367.89,361.43,365.2,8030180,0
^DJC,D,19810205,000000,365.6,370.17,363.32,367.59,7994898,0
^DJC,D,19810206,000000,368.08,373.35,366.3,370.37,8083103,0
