<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CADPLN,D,19840102,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840109,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840116,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840123,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840130,000000,0.008,0.008,0.008,0.008,0,0
CADPLN,D,19840206,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840213,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840220,000000,0.0079,0.0079,0.0079,0.0079,0,0
CADPLN,D,19840301,000000,0.0088,0.0088,0.0088,0.0088,0,0
CADPLN,D,19840305,000000,0.0087,0.0087,0.0087,0.0087,0,0
CADPLN,D,19840312,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840319,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840326,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840402,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840409,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840416,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840424,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840502,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840507,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840514,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840521,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840528,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840604,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840611,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840618,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840625,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840702,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840709,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840716,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840723,000000,0.0085,0.0085,0.0085,0.0085,0,0
CADPLN,D,19840730,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840806,000000,0.0086,0.0086,0.0086,0.0086,0,0
CADPLN,D,19840813,000000,0.0087,0.0087,0.0087,0.0087,0,0
CADPLN,D,19840820,000000,0.0087,0.0087,0.0087,0.0087,0,0
CADPLN,D,19840827,000000,0.0087,0.0087,0.0087,0.0087,0,0
CADPLN,D,19840901,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19840910,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19840917,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19840924,000000,0.0096,0.0096,0.0096,0.0096,0,0
CADPLN,D,19841001,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841008,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841015,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841022,000000,0.0096,0.0096,0.0096,0.0096,0,0
CADPLN,D,19841029,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841105,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841112,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841119,000000,0.0094,0.0094,0.0094,0.0094,0,0
CADPLN,D,19841126,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841201,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841210,000000,0.0095,0.0095,0.0095,0.0095,0,0
CADPLN,D,19841217,000000,0.0096,0.0096,0.0096,0.0096,0,0
CADPLN,D,19841224,000000,0.0096,0.0096,0.0096,0.0096,0,0
CADPLN,D,19850101,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850107,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850114,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850121,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850128,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850204,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850211,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850218,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850225,000000,0.0105,0.0105,0.0105,0.0105,0,0
CADPLN,D,19850304,000000,0.0102,0.0102,0.0102,0.0102,0,0
CADPLN,D,19850311,000000,0.0101,0.0101,0.0101,0.0101,0,0
CADPLN,D,19850318,000000,0.0102,0.0102,0.0102,0.0102,0,0
CADPLN,D,19850325,000000,0.0102,0.0102,0.0102,0.0102,0,0
CADPLN,D,19850329,000000,0.0101,0.0101,0.0101,0.0101,0,0
CADPLN,D,19850401,000000,0.0101,0.0101,0.0101,0.0101,0,0
CADPLN,D,19850409,000000,0.01,0.01,0.01,0.01,0,0
CADPLN,D,19850415,000000,0.01,0.01,0.01,0.01,0,0
CADPLN,D,19850422,000000,0.0099,0.0099,0.0099,0.0099,0,0
CADPLN,D,19850429,000000,0.01,0.01,0.01,0.01,0,0
CADPLN,D,19850506,000000,0.01,0.01,0.01,0.01,0,0
CADPLN,D,19850513,000000,0.01,0.01,0.01,0.01,0,0
CADPLN,D,19850520,000000,0.0099,0.0099,0.0099,0.0099,0,0
CADPLN,D,19850527,000000,0.0099,0.0099,0.0099,0.0099,0,0
CADPLN,D,19850601,000000,0.0116,0.0116,0.0116,0.0116,0,0
CADPLN,D,19850610,000000,0.0115,0.0115,0.0115,0.0115,0,0
CADPLN,D,19850617,000000,0.0116,0.0116,0.0116,0.0116,0,0
CADPLN,D,19850624,000000,0.0115,0.0115,0.0115,0.0115,0,0
CADPLN,D,19850701,000000,0.0116,0.0116,0.0116,0.0116,0,0
CADPLN,D,19850708,000000,0.0116,0.0116,0.0116,0.0116,0,0
CADPLN,D,19850715,000000,0.0116,0.0116,0.0116,0.0116,0,0
